Data Obat;;;;;;;;
No.;Abjad;Nama Obat;Golongan;Kategori;Manfaat;Pengguna;Bentuk obat;Gangguan
24;B;Baloxavir Marboxil;Obat resep;Obat antivirus;Mengobati influenza;Dewasa dan anak usia ≥12 tahun;Tablet;influenza
25;B;Balsem Lang;Obat bebas;Obat herbal;Meredakan pusing, masuk angin, pegal-pegal, nyeri sendi, keseleo, melegakan pernapasan, mabuk perjalanan, dan gatal-gatal karena gigitan serangga.;Dewasa;Balsam;pusing, masuk angin, pegal-pegal, nyeri sendi, keseleo, melegakan pernapasan, mabuk perjalanan, dan gatal-gatal karena gigitan serangga.
26;B;Bamgetol;Obat resep;Antikonvulsan dan antimania;"1. Mengatasi dan mengurangi kambuhnya kejang pada penderita epilepsi.
2. Meredakan nyeri pada wajah akibat gangguan saraf trigeminal atau disebut juga trigeminal neuralgia
3. Meredakan nyeri pada tenggorokan, lidah, atau telinga akibat gangguan saraf (glossopharyngeal neuralgia)
4. Meredakan gejala gangguan bipolar yang tidak bisa diobati dengan lithium";"Dewasa dan anak usia ≥6 tahun
";Tablet;kejang epilepsi, nyeri wajah, nyeri tenggorokan, gangguan bipolar
27;B;Baquinor;Obat resep;Antibiotik jenis quinolone;Mengatasi infeksi bakteri;Dewasa;"Tablet, kaplet, infus
";infeksi bakteri
28;B;Baricitinib;Obat resep;Imunosupresan/Disease Modifying Antirheumatic Drugs (DMARD);"1. Mengobati gejala rheumatoid arthritis yang tidak membaik dengan obat lain dari kelompok DMARD
2. Menangani alopecia areata yang parah
3. Mengatasi dermatitis atopik gejala sedang hingga berat";Dewasa usia ≥18 tahun;Tablet;rheumatoid. Alopecia areata, dermatitis atopik
29;B;Basiliximab;Obat resep;Imunosupresan;Mencegah terjadinya reaksi penolakan organ yang baru saja di transplantasi;Dewasa dan anak-anak;"Suntik
";nyeri pasca operasi
30;B;Beclometasone;Obat resep;Kortikosteroid;Mengurangi serangan asma kambuh dan mengontrol gejala asma;Dewasa dan anak-anak;Inhaler;asma
41;C;Cal-95;Suplemen;Suplemen vitamin dan mineral;Menjaga kesehatan tulang;Dewasa dan anak-anak;Kaplet;Tulang
42;C;Calamine;Obat bebas;Antipruritik;Meredakan gatal akibat iritasi ringan;Dewasa dan anak-anak;Lotion dan bedak;Gatal Iritasi
43;C;Calcipotriol;Obat resep;Antipsoriasis;Mengatasi psoriasis;Dewasa dan anak-anak usia ≥6 tahun;Gel dan salep;Psoriasis
44;C;Callusol;Obat bebas;Keratolitik;Menghilangkan kutil, mata ikan, atau kapalan;Dewasa;Cairan obat luar;Kutil, mata ikan, kapalan
45;C;Calquence;Obat resep;Penghambat Protein kinase;Mengobati leukimia limfostik kronis (LLK) atau limfoma limfostik kecil (LLS), dan limfoma sel mantel (LSM);Dewasa;Kapsul;Leukimia limfostik kronis, Limfoma limfostik kecil, Limfoma sel mantel
46;C;Canagliflozin;Obat resep;Antidiabetes jenis SGLT2 inhibitor;Menurunkan kadar gula darah pada penderita diabetes melitus tipe 2;Dewasa;Tablet;Diabetes Melitus tipe 2
47;C;Candefar;Obat resep;Angiotensin receptor blocker;Mengatasi tekanan darah tinggi dan gagal jantung;Dewasa dan anak usia 1 tahun ke atas;Tablet;Tekanan darah tinggi dan gagal jantung
48;C;Carbidu;Obat resep;Kortikosteroid;Mengatasi peradangan;Dewasa;Tablet;peradangan
49;C;Canderin;Obat resep;Angiotensin receptor blocker (ARB), antagonis kalsium;Mengatasi tekanan darah tinggi dan gagal jantung;Dewasa;Tablet;darah tinggi dan gagal jantung
50;C;Carvilol;Obat resep;Penghamat beta;Mengatasi tekanan darah tinggi, Menangani gagal jantung, Mengatasi angina stabil kronis, Mencegah terjadinya komplikasi setelah serangan jantung;Dewasa;Tablet;tekanan darah tinggi, gagal jantung, angina stabil kronis, serangan jantung
51;C;Cazetin;Obat resep;Anti jamur golongan polyene (antimikotik);Mengobati kandidiasis oral dan kandidiasis di saluran cerna;Dewasa dan anak-anak;Tetes oral atau drops;Kandidiasis saluran cerna
61;D;D-Cool;Obat bebas;Antiseptik;Mengatasi infeksi tenggorokan;Dewasa dan anak-anak;Tablet isap;Infeksi tenggorokan
62;D;Dabigatran;Obat resep;Antikoagulan;Mencegah dan mengatasi penggumpalan darah;Dewasa;Kapsul;Penggumalan darah
63;D;Dacarbazine;Obat resep;Obat antikanker/kemoterapi;Mengobati melanoma (kanker kulit), sarkoma jaringan lunak, dan Hodgkin’s lymphoma (jenis kanker kelenjar getah bening).;Dewasa;Infus;melanoma (kanker kulit), sarkoma jaringan lunak, Hodgkin’s lymphoma (jenis kanker kelenjar getah bening).
64;D;Dacin;Obat resep;Antibiotik jenis lincosamide;Mengatasi infeksi bakteri;Dewasa;Kapsul;Infeksi bakteri
65;D;Daclatasvir;Obat resep;Antivirus;Menangani hepatitis C;Dewasa;Tablet;Hepatitis C
66;D;Daktarin;Obat bebas;Antijamur;Mengatasi infeksi jamur pada kulit, seperti panu, kutu air, kurap, candidiasis, onikomikosis, ruam popok, serta infeksi jamur di mulut;Dewasa dan anak-anak;Bedak, krim, dan gel;Infeksi jamur (panu, kutu air, kurap, candidiasis, onikomikosis, ruam popok, infeksi jamur di mulut
67;D;Daktarin Oral Gel;Obat resep;Antijamur;Mengobati infeksi jamur pada mulut, tenggorokan, dan saluran pencernaan;Dewasa dan anak-anak;Oral gel;Infeksi jamur
68;D;Damaben;Obat resep;Antiemetik;Meredakan mual dan muntah;Dewasa dan anak-anak;Tablet, sirop, drops, dan suntik;Mual, muntah
69;D;Danasone;Obat resep;Kortikosteroid dan imunosupresan;Meredakan peradangan dan Menangani penyakit autoimun;Dewasa dan anak-anak;Tablet;Autoimun, autoimun
70;D;Danazol;Obat resep;Hormon androgenik;Menangani endometriosis, meredakan keluhan pada penyakit payudara fibrokistik, serta mencegah kambuhnya gejala angioedema;Dewasa;Kapsul;Endometriosis, payudara fibrokistik
81;E;Eclid;Obat resep;Obat antidiabetes golongan alpha-glucosidase inhibitors;Mengendalikan kadar gula darah pada penderita diabetes tipe 2;Dewasa usia ≥18 tahun;Tablet;Diabetes tipe 2
82;E;Econazine Krim;Obat resep;Antijamur azole dan kortikosteroid topikal;Mengobati infeksi jamur di kulit yang disertai gejala peradangan berat, seperti kutu air, tinea cruris, kurap, atau candidiasis.;Dewasa dan anak usia ≥12 tahun;Krim;Kutu air, tinea cruris, kurap, candidiasis.
83;E;Econazole;Obat resep;Antijamur azole;Mengobati atau mencegah infeksi jamur kulit dan kuku;Dewasa dan anak usia 12 tahun ke atas;Krim;Infeksi jamur kulit, kutu
84;E;Edaravone;Obat resep;Antioksidan;Mengobati amyotrophic lateral sclerosis;Dewasa;Suntik;Amyotrophic lateral sclerosis
85;E;Edoxaban;Obat resep;Antikoagulan jenis penghambat faktor Xa;"1. Mencegah terjadinya stroke pada penderita gangguan irama jantung jenis atrial fibrilasi.
2. Mengatasi dan mencegah kambuhnya trombosis vena dalam atau emboli paru
";Dewasa;Tablet salut selaput;Stroke
86;E;Efavirenz;Obat resep;Antivirus non-nucleoside reverse transcriptase inhibitor (NNRTI);Mengontrol dan mencegah infeksi HIV;Dewasa dan anak-anak usia di atas 3 bulan;Tablet, kapsul;HIV
87;E;Efisol C;Obat bebas;Antiseptik mulut dan tenggorokan;Mengatasi infeksi ringan pada rongga mulut dan tenggorokan yang disebabkan oleh bakteri atau jamur;Dewasa dan anak-anak;Tablet isap;Infeksi ringan rongga mulut (tenggorokan)
88;E;Eflagen;Obat resep;Obat antiiflamasi nonsteroid (OAINS);Meredakan nyeri dan peradangan, misalnya pada radang sendi, nyeri haid, sakit gigi, nyeri otot, atau nyeri setelah operasi;Dewasa dan anak usia >14 tahun;Tablet;Radang sendi, nyeri haid, sakit gigi, nyeri otot, nyeri operasi
89;E;Eflin;"1. Obat resep untuk Eflin sediaan tablet
2. Obat bebas terbatas untuk Eflin sediaan sirop";Dekongestan dan antihistamin;Meringankan gejala flu, batuk pilek, dan alergi;Dewasa dan anak-anak;Tablet dan sirop;flu, batuk pilek, alergi
90;E;Elbasvir-Grazoprevir;Obat resep;Antivirus;Mengatasi hepatitis C;Dewasa (usia >18 tahun);Tablet;Hepatitis C
101;F;Fargetix;Obat resep;Obat antiinflamasi nonsteroid (OAINS);Meredakan nyeri ringan hingga sedang, seperti sakit gigi, nyeri haid (dismenore primer atau menorrhagia), sakit kepala, nyeri akibat cedera, atau nyeri pascaoperasi, Mengurangi gejala radang sendi pada penderita osteoarthritis atau rheumatoid arthritis;Dewasa usia ≥14 tahun;Kaplet dan suspensi;Nyeri, sakit kepala, radang sendi
102;F;Farizol;Obat resep;Obat antibiotik;Mengobati infeksi bakteri anaerob, Mengatasi infeksi parasit tertentu;Dewasa dan anak-anak;Kaplet dan suspensi;Infeksi bakteri anaerob dan parasit
103;F;Farmadol;Obat bebas untuk Farmadol Kaplet, Obat resep untuk Farmadol Infus;Analgetik-antipiretik;Meredakan nyeri ringan hingga sedang Menurunkan demam, misalnya saat flu dan pilek, atau setelah vaksinasi;Dewasa dan anak-anak;Kaptab dan cairan infus;Nyeri ringan, demam, flu
104;F;Farmoten;Obat resep;Penghambat enzim pengubah angiotensin (ACE inhibitor);Mengatasi hipertensi, gagal jantung, dan nefropati diabetik, Mencegah komplikasi setelah serangan jantung;Dewasa dan lansia;Tablet;Hipertensi, gagal jantung, nefropati diabetik, komplikasi serangan jantung
105;F;Farpain;Obat resep;Obat antiinflamasi nonsteroid (NSAID);Meredakan nyeri skala sedang hingga berat, contohnya nyeri setelah operasi;Dewasa (usia ≥16 tahun);Tablet salut selaput dan cairan suntik;nyeri sedang hingga berat
106;F;Fasidol;Obat bebas;Analgesik dan antipiretik;Meredakan nyeri dan demam;Dewasa dan anak-anak;Kaplet, sirop, dan drops;nyeri dan demam
107;F;Faxiden;Obat resep;Obat antiinflamasi nonsteroid (OAINS);Meredakan nyeri dan peradangan;Dewasa;Kaplet;nyeri dan peradangan
108;F;Fasiprim;Obat resep;Antibiotik golongan sulfonamida;Mengobati infeksi bakteri pada saluran pernapasan, saluran cerna, saluran kemih, serta telinga;Dewasa dan bayi usia >2 bulan;Kaplet dan sirop;infeksi bakteri saluran pernapasan, saluran cerna, saluran kemih, telinga
109;F;Farsifen;Obat bebas terbatas dan obat resep;Obat antiinflamasi nonsteroid (OAINS), antipretik, dan analgesik;Meredakan demam, nyeri, dan peradangan;Dewasa dan anak-anak;Kaplet, suspensi;demam, nyeri dan peradangan
110;F;Feldco;Obat resep;Obat antiinflamasi nonsteroid (OAINS);Meredakan nyeri dan peradangan;Dewasa;Kapsul;nyeri dan peradangan
121;G;Gabapentin;Obat resep;Antikejang dan pereda nyeri neuropati;Meredakan kejang, sindrom kaki gelisah, dan nyeri neuropati akibat herpes;Dewasa dan anak-anak usia ≥6 tahun;Kapsul;Kejang, sindrom kaki gelisah, nyeri neuropati akibat herpes
122;G;Gabiten;Obat resep;Antihistamin;Meredakan gejala alergi, termasuk rhinitis alergi, konjungtivitis alergi, atau biduran;Dewasa dan anak usia >10 tahun;Kaplet;Rhinitis alergi, konjungtivitis alergi, biduran
123;G;Gaforin;Obat resep;Antibiotik golongan quinolone;Mengobati konjungtivitis dan keratitis akibat infeksi bakteri;Dewasa dan anak usia ≥1 tahun;Tetes mata (eye drop);Infeksi bakteri
124;G;Galantamine;Obat resep;Cholinesterase inhibitors;Meringankan gejala penyakit Alzheimer;Dewasa;Kapsul lepas lambat, tablet, sirop;Alzheimer
125;G;Galdom;Obat resep;Antiemetik jenis antagonis dopamin;Mengatasi mual dan muntah;Dewasa dan anak-anak;Tablet dan suspensi;Mual dan muntah
126;G;Galepsi;Obat resep;Antikonvulsan atau antikejang;Meredakan kejang epilepsi dan nyeri saraf (neuropati), termasuk yang dipicu oleh herpes zoster.;Dewasa dan anak usia ≥3 tahun;Kapsul;herpes zoster
127;G;Gallium Nitrate;Obat resep;Penurun kalsium dalam darah;Menurunkan kadar kalsium dalam darah pada pasien kanker;Dewasa;Suntik;Kanker
128;G;Galpect;Obat resep;Obat pengencer dahak jenis mukolitik;Mengencerkan dahak;Dewasa dan anak-anak;Tablet dan sirop;Mengencerkan dahak
129;G;Galvus;Obat resep;Antidiabetes;Menurunkan kadar gula darah pada pasien diabetes tipe 2;Dewasa usia di atas 18 tahun;Tablet;Diabetes tipe 2
130;G;Galvusmet;Obat resep;Obat antidiabetes kombinasi penghambat DPP-4 (vildagliptin) dan biguanide (metformin);Menurunkan kadar gula darah yang tinggi pada penderita diabetes tipe 2;Dewasa;Tablet salut selaput;Diabetes tipe 2
141;H;H-Booster;Obat bebas;Suplemen vitamin dan mineral;Membantu menjaga daya tahan tubuh anak;Anak-anak;Sirop;daya tahan tubuh
142;H;Haloperidol;Obat resep;Antipsikotik;Meredakan psikosis, gejala skizofrenia atau mania, serta mengontrol sindrom Tourette;Dewasa dan anak-anak ≥3 tahun;Tablet, kaplet, obat tetes oral (drops), injeksi;psikosis, mania sindrom tourette
143;H;Hemobion;Suplemen;Suplemen vitamin dan mineral;Memenuhi kebutuhan vitamin dan mineral, Mengatasi anemia;Dewasa;Kapsul;anemia
144;H;Heplav;Obat resep;Obat antivirus;Mengatasi infeksi virus hepatitis B dan HIV;Dewasa dan anak-anak ≥3 tahun;Tablet, kaplet, obat tetes oral (drops), injeksi;virus hepatitis B dan HIV
145;H;Heptasan;Obat resep;Antihistamin;Meringankan gejala alergi;Dewasa dan anak usia ≥2 tahun;Tablet, kaplet, obat tetes oral (drops), injeksi;alergi
146;H;Histigo;Obat resep;Antihistamin H3;Mengobati keluhan vertigo, gangguan pendengaran, dan telinga berdenging (tinnitus) akibat penyakit Meniere;Dewasa;Kaplet;verigo, gangguan pendengaran, telinga berdenging
147;H;Holimox;Obat resep;Antibiotik penisilin;Mengobati infeksi bakteri;Dewasa dan anak-anak;Kaplet dan sirop kering;infeks bakteri
148;H;Hufadine;Obat resep;Antagonis H2;Mengobati kondisi yang terkait oleh asam lambung berlebih, seperti penyakit asam lambung (GERD), tukak lambung, ulkus duodenum, dan sindrom Zollinger-Ellison.;Dewasa;Kaplet salut selaput;Asam lambung, tukak lambung, ulkus dodenum, dan sindrom zollinger-ellison
149;H;Hufadon;Obat resep;Antiemetik;Meredakan mual dan muntah;Dewasa dan anak usia ≥12 tahun;Kaplet dan suspensi;mual dan muntah
150;H;Hydrocodone;Obat resep;Obat antinyeri golongan opioid;Meredakan rasa nyeri sedang hingga berat;Dewasa;Kapsul dan tablet;nyeri sedang hingga berat
161;I;Ibandronate;Obat resep;Bisfosfonat;Mencegah dan mengatasi osteoporosis, terutama pada wanita menopause.;Dewasa;Tablet dan suntik;Osteoporosis
162;I;Ibrutinib;Obat resep;Obat penghambat protein kinase;Mengobati kanker darah, limfoma, dan graft versus host disease;Dewasa dan anak ≥ 1 tahun;Tablet;Kanker darah, limfoma, graft versus host disease
163;I;Ibuprofen;Obat bebas terbatas dan Obat resep;Obat antiinflamasi nonsteroid (NSAID);"1. Meredakan nyeri derajat ringan hingga sedang
2. Menurunkan demam";Dewasa dan anak usia ≥6 bulan;Tablet, kapsul, kapsul lunak, suspensi atau sirop, tetes oral atau drops, granula, suntik;Demam
164;I;Ibuprofen Rektal;Obat resep;Obat antiinflamasi nonsteroid (NSAID);"1. Meredakan nyeri skala ringan hingga sedang, misalnya pada sakit gigi, nyeri haid, atau nyeri akibat terkilir
2. Meringankan gejala radang sendi atau radang tendon, seperti pada rheumatoid arthritis, osteoarthritis, tendinitis, atau bursitis
3. Menurunkan demam";Anak usia ≥3 tahun;Enema dan suppositoria;Sakit gigi, nyeri haid, nyeri akibat terkilir, radang sendi
165;I;Icodextrin;Obat resep;Cairan koloid osmotik;"1. Mengeluarkan darah kotor dan racun pada prosedur cuci darah di perut atau CAPD (continuous ambulatory peritoneal dialysis)
2. Mengganti cairan tubuh pada kondisi perdarahan dan dehidrasi berat";Dewasa;Larutan untuk dialisis dan cairan infus;Ginjal
166;I;Ifen;Obat resep;Obat antiinflamasi nonsteroid (OAINS);Meredakan demam dan nyeri;Dewasa;Tablet;Demam
167;I;Iflacort;Obat resep;Obat kortikosteroid;Meredakan gejala peradangan pada kulit, yang disebabkan oleh reaksi alergi, dermatitis atopik (eksim), dermatitis seboroik, dan psoriasis.;Dewasa dan anak-anak;Krim;Alergi, dermatitis atopik (eksim), dermatitis seboroik, psoriasis.
168;I;Ifosfamide;Obat resep;Kemoterapi;Mengobati beberapa jenis kanker, termasuk kanker testis;Dewasa;Serbuk suntik;Kanker testis
169;I;Iliadin;Obat bebas terbatas;Dekongestan;Meringankan gejala hidung tersumbat karena flu, batuk pilek, sinusitis, atau rhinitis alergi.;Dewasa dan anak usia ≥2 tahun;Semprot hidung dan tetes hidung;Flu, batuk pilek, sinusitis, atau rhinitis alergi
170;I;Imatinib;Obat resep;Obat antikanker golongan penghambat protein kinase;Mengobati leukemia, gastrointestinal stromal tumors (GIST), sindrom mielodisplasia, sindrom hipereosinofilik, mastositosis sistemik agresif, serta dermatofibrosarcoma protuberans yang sulit diatasi melalui operasi;Dewasa dan anak-anak;Tablet dan kapsul;Leukemia, gastrointestinal stromal tumors (GIST), sindrom mielodisplasia, sindrom hipereosinofilik, mastositosis sistemik agresif, dermatofibrosarcoma protuberans
181;J;Janumet;Obat resep;Obat antidiabetes kombinasi penghambat DPP-4 (sitagliptin) dan biguanide (metfornim);Mengendalikan kadar gula darah pada penderita diabetes tipe 2;Dewasa (usia ≥18 tahun);Tablet;Diabetes tipe 2
182;J;Janumet XR;Obat resep;Antidiabetes;Mengendalikan kadar gula darah pada penderita diabetes tipe 2;Dewasa;Tablet lepas lambat;Diabetes tipe 2
183;J;Januvia;Obat resep;Antidiabetes;Mengendalikan kadar gula darah pada penderita diabetes tipe 2;Dewasa;Tablet;Diabetes tipe 2
184;K;Kadiflam;Obat resep;Obat antiinflamasi nonsteroid (OAINS);Meredakan nyeri dan peradangan, contohnya pada radang sendi, sakit gigi, atau migrain;Dewasa dan anak usia ≥14 tahun;Tablet;Radang sendi, sakit gigi, migrain
185;K;Kaditic;Obat resep;Obat antiinflamasi nonsteroid (OAINS);Mengobati nyeri dan peradangan;Dewasa dan anak usia >14 tahun;Tablet;Nyeri, peradangan
186;K;Kafein;Obat bebas dan resep;Stimulan sistem saraf pusat;Meredakan kantuk atau meredakan sakit kepala migrain;Dewasa dan anak-anak;Kaplet, tablet, serbuk, dan suntik;Sakit kepala / Migrain
187;K;Kaflem;Obat resep;Obat anti inflamasi nonsteroid (OAINS);Mengatasi gejala peradangan, seperti nyeri dan bengkak, pada kondisi sakit gigi, kram menstruasi, migrain, serta nyeri sendi dan nyeri otot karena rheumatoid arthritis dan osteoarthritis;Dewasa dan anak usia >14 tahun;Tablet salut selaput;sakit gigi, kram menstruasi, migrain, nyeri sendi, nyeri otot
188;K;Kalitake;Obat resep;lon-exchange resin;Mengatasi hiperkalemia akibat gagal ginjal akut dan kronis;Dewasa;Serbuk;Hiperkalamia
189;K;Kalium;Obat bebas dan resep;Suplemen mineral;Mengobati dan mencegah kekurangan kalium (hipokalemia);Dewasa dan anak-anak;Tablet, tablet lepas lambat, suntik atau infus;Hipokalamia
190;K;Kalmeco;Obat resep;Suplemen;Mengatasi keluhan akibat gangguan saraf tepi (neuropati perifer);Dewasa;Kapsul dan suntik;Neuropati perifer
191;K;Kalmethasone;Obat resep;Kortikosteroid;Meredakan peradangan;Dewasa dan anak-anak;Tablet;Peradangan
192;K;Kalnex;Obat resep;Antifibrinolitik;"1. Menghentikan perdarahan pada mimisan; cedera; maupun perdarahan pascaoperasi 
2. Mengurangi perdarahan pada menorrhagia 
3. Mencegah perdarahan pada pasien hemofilia 
4. Menangani hereditary angiodema";Dewasa;Kapsul, tablet, cairan suntik;Pendarahan
193;K;Kalpanax;Obat resep;Antijamur;"1. Mengatasi infeksi jamur kulit, seperti panu, kutu air, dan kurap 
2. Mengatasi gatal akibat eksim (Kalpanax Salep)";Dewasa;Krim dan salep;Jamur kulit
194;K;Kalpepsa;Obat resep;Anti-ulkus;Mengatasi tukak lambung, ulkus duodenum, atau gastritis kronis.;Dewasa;Suspensi;tukak lambung, ulkus duodenum, gastritis kronis
195;K;Kalsium;Obat resep;Suplemen mineral;Mencegah dan mengatasi defisiensi kalsium;Dewasa dan anak-anak;Tablet, kapsul, dan sirop;Defisiensi kalsium
196;K;Kalsium Asetat;Obat resep;Pengikat fosfat;Menurunkan kadar fosfat dalam darah pada pasien end stage of renal disease yang sedang cuci darah;Dewasa;Tablet;Hiperfosfatemia
197;K;Kalsium Glukonat;Obat resep dan obat bebas;Suplemen mineral;Mengatasi kondisi kekurangan kalsium;Dewasa dan anak-anak;Kapsul, kaplet, sirop, suntik;Kekurangan kalsium
203;K;Kanamycin;Obat resep;Antibiotik golongan aminoglikosida;Mengobati infeksi bakteri;Dewasa dan anak-anak;Kapsul dan suntik;Infeksi bakteri
204;L;L-Acys;Obat resep;Obat pengencer dahak jenis mukolitik;Mengencerkan dahak;Dewasa dan anak-anak;Dewasa dan anak-anak;Berdahak
205;L;L-Alanyl-L-Glutamine;Obat resep;Suplemen asam amino;Mengatasi kekurangan glutamine;Dewasa;Suntik;Kekurangan Glutamine
206;L;L-Cysteine;Obat bebas dan obat resep;Asam amino;Menjaga kesehatan, dan berperan sebagai nutrisi parenteral untuk pasien penyakit hati yang parah;Dewasa dan anak-anak;Kaplet, kapsul, tablet, infus;Hati
207;L;l-Theanine;Obat bebas;Suplemen asam amino;"1. Meredakan kecemasan dan stres
2. Mengatasi insomnia
3. Meningkatkan fokus
4. Meningkatkan efektivitas kemoterapi";Dewasa dan anak-anak;Kapsul, tablet, dan gummy;kecemasan, stress, insomnia
208;L;Labetalol;Obat resep;Penghambat beta;Mengatasi tekanan darah tinggi;Dewasa dan lansia;Tablet, suntik;Darah tinggi
209;L;Lactacyd Baby;Produk bebas;Sabun dan sampo bayi;Membersihkan dan melembutkan kulit dan rambut bayi, serta mencegah iritasi pada kulit bayi;Bayi;Cairan kental;Iritasi kulit bayi
210;L;Lacto-B;Suplemen;Probiotik;"1. Mencegah dan mengobati diare
2. Mengurangi gejala intoleransi laktosa
3. Mencegah sembelit";Anak usia 1–12 tahun;Bubuk;Diare, gejala intoleransi laktosa, Sembelit
224;M;Maaggel;Obat bebas;Antasida;Meredakan gejala asam lambung berlebih pada GERD, gastritis, atau tukak lambung;Dewasa;Suspensi;GERD, gastritis, tukak lambung
225;M;Macrogol;Obat bebas dan resep;Obat pencahar;Mengatasi sembelit atau konstipasi, dan untuk mengosongkan usus sebelum prosedur operasi usus dan pemeriksaan kolonoskopi.;Dewasa dan anak usia ≥4 tahun;Serbuk dan cairan enema;Sembelit, konstipasi
226;M;Magaldrate;Obat bebas;Antasida;Mengatasi penyakit asam lambung, gastritis, tukak lambung, atau tukak duodenum;Dewasa;Suspensi dan tablet kunyah;Asam lambung, gastritis, tukak lambung, tukak duodenum
227;M;Magasida;Obat bebas;Antasida;Meredakan gejala akibat asam lambung berlebih pada gastritis, tukak lambung, atau ulkus duodenum;Dewasa dan anak usia >6 tahun;Tablet dan sirop;Gastritis, tukak lambung, ulkus duodenum
228;M;Magnesium Hidroksida;Obat bebas;Antasida dan obat pencahar;Menetralkan asam lambung dan mengatasi konstipasi;Dewasa dan anak usia ≥3 tahun;Suspensi dan tablet kunyah;Asam lambung, konstipasi
229;M;Magnesium Karbonat;Obat bebas;Suplemen magnesium dan antasida;Mengatasi kekurangan magnesium dan kelebihan asam lambung;Dewasa dan anak-anak;Tablet, kapsul, dan suspensi;Asam lambung
230;M;Magnesium Sitrat;Obat bebas;Suplemen dan obat pencahar;Sebagai suplemen mineral dan untuk mengatasi sembelit;Dewasa dan anak-anak;Tablet, kapsul, sirop;Sembelit
231;M;Magnesium Sulfat (MgSO4);Obat resep;"Antikonvulsan dan 
Suplemen mineral";"1. Mengobati hipomagnesemia 
2. Mencegah terjadinya kejang pada penderita preeklamsia dan mengendalikan kejang pada penderita eklamsia";Dewasa;Suntik;Hipomagnesemia, preeklamsia, eklamsia
232;M;Magnesium Trisilicate;Obat bebas;Antasida;Meredakan gejala asam lambung berlebih, seperti tukak lambung atau sakit maag;Dewasa dan anak usia 5 tahun ke atas;Tablet, tablet kunyah, kaplet, sirop;Tukak lambung, maag
233;M;Maintate;Obat resep;Penghambat beta;"1. Menangani hipertensi 
2. Mengatasi angina pektoris 
3. Menangani gagal jantung";Dewasa;Tablet;Hipertensi, angina pektoris, gagal jantung
234;M;Maltofer;Obat bebas;Obat;Pengobatan pada defisiensi zat besi tanpa anemia dan anemia defisiensi besi dan sebagai terapi pencegahan defisiensi zat besi selama kehamilan;Dewasa;Tablet kunyah, sirop, drops;Anemia
235;M;Manitol;Obat resep;Diuretik osmotik;"1. Menurunkan tekanan intrakranial atau intraokular 
2. Mengurangi pembengkakan otak";Dewasa dan anak-anak;Infus;Tekanan Intrakranial, intraokular, pembengkakan otak
